PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LUONG QUOI COCONUT CO., LTD",11/29/2015,167024,75920,Xiamen,"Long Beach, California",HONG KONG BRIDGE,China,NO MARKNO MARKNO MARKNO MARK,12420 SE CARPENTER DRIVE - CLACKAMAS OR 97015,"AN HIEP INDUSTRIAL PARK, CHAU THANH DISTRICT, BEN TRE PROVINCE, VIETNAM FDA REGISTRATION #: 18761957766",97015,4,CAIU2587542 CAIU2925418 TRHU2112225 FCIU4948046,2CG0 2CG0 2CG0 2CG0,80,PKG,100,CM,ASQN114805,H,HJSCSGN532203600,0035E,HE554828 HE554862 HE554868 HE554834,SINGAPORE, ,ASQN,ASL LOGISTICS INC,HACIENDA HEIGHTS,CA,91745,2440 S HACIENDA BLVD #101,TLR TOTAL LOGISTICS RESOURCE,"ATTN: MARGARET MOWERY 11855 NE GLENN WIDING DR. PORTLAND, OR 97220",HO CHI MINH
34.000MT RBD COCONUT OIL PACKI NG IN IBC PAPER TOTES 40 X 850 KG TOTES SCIENTIFIC NAM E: COCOS NUCIFERA 34.000MT RBD COCONUT OIL PACKI NG IN IBC PAPER TOTES 40 X 850 KG TOTES SCIENTIFIC NAM E: COCOS NUCIFERA,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,GRANEXPORT MANUFACTURING CORP.,11/27/2015,80704,36684,Shanghai,"Long Beach, California",GUNDE MAERSK,China,N/MN/M,"12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015 1-5037235410 TEL EX 1-503723 54","16TH FLOOR, UCPB BUILDING, MAKATI A MAKATI CITY, PHILIPPINES 1200 63-28927961 TEL EX 63-28927 96",97015,2,MRKU9218511 MRSU0213070,2CB0 2CB0,40,PCS,46,CM,MAEU954964370, , ,544N,PH0860603 PH0860602,DENMARK, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",BRIDGEWELL RESOURCES LLC,"12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015 CTC PERSON: CINDYBREHL 1-5037235410 TEL EX 1-503723 54",CAGAYAN DE ORO
ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.92 MTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LUONG QUOI COCONUT CO., LTD",11/22/2015,167024,75920,Xiamen,"Long Beach, California",HS ROME,China,NO MARKNO MARKNO MARKNO MARK,12420 SE CARPENTER DRIVE - CLACKAMAS OR 97015,"AN HIEP INDUSTRIAL PARK, CHAU THANH DISTRICT, BEN TRE PROVINCE, VIETNAM FDA REGISTRATION #: 18761957766",97015,4,BSIU2441548 HJCU2229982 HJCU8254046 DRYU2839270,2CG0 2CG0 2CG0 2CG0,80,PKG,100,CM,ASQN114800,H,HJSCSGN531656300,0105E,HE541855 HE541845 HE541874 HE541843,LIBERIA, ,ASQN,ASL LOGISTICS INC,HACIENDA HEIGHTS,CA,91745,2440 S HACIENDA BLVD #101,TLR TOTAL LOGISTICS RESOURCE,"ATTN: MARGARET MOWERY 11855 NE GLENN WIDING DR. PORTLAND, OR 97220",HO CHI MINH
ORGANIC CHICKPEAS (KABULI CHANA) FDA.: 17939892456,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SAPTHSATHI ORGANIC AGRICULTURE,11/21/2015,44374,20170,Pusan,"Seattle, Washington",HANJIN GENEVA,South Korea,NIL,"12420 SE CARPENTER DRIVE, CLACKAMAS OR 97015 US","PROJECT, 414/5TH FLOOR, ONAM PLAZA NEAR INDUSTRY HOUSE, OLD-PALASIA, INDORE MP 452001 IN",97015,1,SLSU2001389,2CG0,20,BAG,0, ,SRXV1516PDX03805,H,HJSCBOM514186500,0114E,CH3668811,GERMANY, ,SRXV,SAR TRANSPORT SYSTEMS PVT LTD,NEW DELHI, ,110019,902-903 DEVIKA TOWERS 6 NEHRU PLACE,-NOT AVAILABLE-, ,NHAVA SHEVA
ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.96 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.96 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.96 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 75.96 MTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LUONG QUOI COCONUT CO., LTD",11/16/2015,167112,75960,Xiamen,"Long Beach, California",WAN HAI 611,China,NO MARKNO MARKNO MARKNO MARK,12420 SE CARPENTER DRIVE - CLACKAMAS OR 97015,"AN HIEP INDUSTRIAL PARK, CHAU THANH DISTRICT, BEN TRE PROVINCE, VIETNAM FDA REGISTRATION #: 18761957766",97015,4,TRLU9140438 TEMU4910806 TGHU1892629 CAIU2163586,2CG0 2CG0 2CG0 2CG0,80,PKG,100,CM,ASQN114789,H,HJSCSGN530450100,0006E,HE539759 HE539770 HE539721 HE539757,SINGAPORE, ,ASQN,ASL LOGISTICS INC,HACIENDA HEIGHTS,CA,91745,2440 S HACIENDA BLVD #101,TLR TOTAL LOGISTICS RESOURCE,"ATTN: MARGARET MOWERY 11855 NE GLENN WIDING DR. PORTLAND, OR 97220",HO CHI MINH
"'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46% PRILLED PO:00752146 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46% PRILLED PO:00752146 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46% PRILLED PO:00752146 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46% PRILLED PO:00752146 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46% PRILLED PO:00752146 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46% PRILLED PO:00752146 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46% PRILLED PO:00752146 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46% PRILLED PO:00752146 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 FREIGHT COLLECT FREIGHT COLLECT FREIGHT COLLECT FREIGHT COLLECT FREIGHT COLLECT FREIGHT COLLECT FREIGHT COLLECT FREIGHT COLLECT",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SHANDONG LIANMENG INTERNATIONAL,11/09/2015,688116,312780,Ching Tao,"Tacoma, Washington",HANOVER EXPRESS,China,N/MN/MN/MN/MN/MN/MN/MN/MN/MN/MN/MN/M,"FOOD & AG PRODUCTS DIVISION 12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015 USA","TRADE CO.,LTD. NO.26 XIANGGANG ZHONG ROAD, QINGDAO,266071 CHINA",12420,12,TCLU4193375 TGHU5233640 HDMU4699069 HDMU4721286 HDMU4750010DFSU4240718 TGHU5204067 HDMU4699768 HDMU4723524 HDMU4675766HDMU4728742 DFSU4327417,42G0 42G0 42G0 42G0 42G042G0 42G0 42G0 42G0 42G042G0 42G0,312,PKG,0, ,HDMUQISE5616831, , ,0059E,F035261 F035223 F035227 F035220 F035219 F035239 F035299 F035233 F035247 F035282 F035250 F035213,GERMANY, ,HDMU,HYUNDAI MERCHANT MARINE,SEOUL, , ,879 W 190TH ST 7TH FL,TOTAL LOGISTICS RESOURCES,"11855 NE GLENN WIDING DRIVE, PORTLAND OR 97220 USA, ATTN:MARGARET MOWERY,","QINGDAO, CHINA"
ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LUONG QUOI COCONUT CO., LTD",11/08/2015,167816,76280,Xiamen,"Long Beach, California",GEORGE WASHINGTON BRIDG,China,NO MARKNO MARKNO MARKNO MARK,12420 SE CARPENTER DRIVE - CLACKAMAS OR 97015,"AN HIEP INDUSTRIAL PARK, CHAU THANH DISTRICT, BEN TRE PROVINCE, VIETNAM FDA REGISTRATION #: 18761957766",97015,4,HJCU8266052 HJCU2131070 TEMU2753760 HJCU8292730,2CG0 2CG0 2CG0 2CG0,80,PKG,100,CM,ASQN114785,H,HJSCSGN528161700,0073E,HE559358 HE559318 HE559395 HE559320,PANAMA, ,ASQN,ASL LOGISTICS INC,HACIENDA HEIGHTS,CA,91745,2440 S HACIENDA BLVD #101,TLR TOTAL LOGISTICS RESOURCE,"ATTN: MARGARET MOWERY 11855 NE GLENN WIDING DR. PORTLAND, OR 97220",HO CHI MINH
"'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46%N PRILLED PO#00752179 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDUREEQUIPMENT SUBSTITUTION PER RULE 2.30 'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46%N PRILLED PO#00752179 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDUREEQUIPMENT SUBSTITUTION PER RULE 2.30 'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46%N PRILLED PO#00752179 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDUREEQUIPMENT SUBSTITUTION PER RULE 2.30 'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46%N PRILLED PO#00752179 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDUREEQUIPMENT SUBSTITUTION PER RULE 2.30'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46%N PRILLED PO#00752179 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDUREEQUIPMENT SUBSTITUTION PER RULE 2.30 'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46%N PRILLED PO#00752179 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDUREEQUIPMENT SUBSTITUTION PER RULE 2.30 'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46%N PRILLED PO#00752179 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDUREEQUIPMENT SUBSTITUTION PER RULE 2.30'SHIPPER'S LOAD, COUNT & SEAL' (312P'KGS) CY / CY UREA 46%N PRILLED PO#00752179 FREIGHT COLLECT COPY NON-NEGOTIABLE WAYBILL RELEASE PROCEDUREEQUIPMENT SUBSTITUTION PER RULE 2.30",BRIDGEWELL RESOURCES LLC.,BRIDGEWELL RESOURCES LLC,"SINO STARCO CHEMICAL CO.,LIMITED.",11/01/2015,689832,313560,Ching Tao,"Tacoma, Washington",OOCL ROTTERDAM,China,N/MN/MN/MN/MN/MN/MN/MN/MN/MN/MN/MN/M,"12420 SE CARPENTER DRIVE, CLACKAMAS,OR 97015 USA FAX #503-742-1198","2 MINJIANG ROAD B-2403,QINGDAO 266071,P.R.CHINA",97015,12,HDMU6858792 HDMU6542103 GESU5302245 TCNU7408258 HDMU6819414DFSU6811668 CRSU9125319 HDMU6705448 BSIU9211085 HDMU6388019TCNU7614080 HDMU6694370,45G0 45G0 45G0 45G0 45G045G0 45G0 45G0 45G0 45G045G0 45G0,312,PKG,0, ,HDMUQIWB9345138, , ,0083E,F020589 F020536 F020574 F030841 F023516 F020551 F020516 F020513 F042238 F020452 F020539 F020515,HONG KONG, ,HDMU,HYUNDAI MERCHANT MARINE,SEOUL, , ,879 W 190TH ST 7TH FL,"TLR,MARGARET MOWERY","11855 N.E.GLENN WIDING DRIVE, PORTLAND OR 97220 P#503-257-6090 X343","QINGDAO, CHINA"
ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LUONG QUOI COCONUT CO., LTD",10/31/2015,167816,76280,Xiamen,"Long Beach, California",HUMBER BRIDGE,China,NO MARKNO MARKNO MARKNO MARK,12420 SE CARPENTER DRIVE - CLACKAMAS OR 97015,"AN HIEP INDUSTRIAL PARK, CHAU THANH DISTRICT, BEN TRE PROVINCE, VIETNAM FDA REGISTRATION #: 18761957766",97015,4,HJCU2245577 FCIU4729773 GLDU9600769 TGHU1894030,2CG0 2CG0 2CG0 2CG0,80,PKG,100,CM,ASQN114777,H,HJSCSGN527984500,0052E,HE559019 HE559031 HE559002 HE559081,PANAMA, ,ASQN,ASL LOGISTICS INC,HACIENDA HEIGHTS,CA,91745,2440 S HACIENDA BLVD #101,TLR TOTAL LOGISTICS RESOURCE,"ATTN: MARGARET MOWERY 11855 NE GLENN WIDING DR. PORTLAND, OR 97220",HO CHI MINH
"COCONUT OIL IN DRUMS/IBC 1 X 20' DRY CONTAINER VAN CONTAINING 18.30 MT OF CERTIFIED ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN CORRUGATED IBC WITH HEATING ELEMENT (110V), AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. NET WEIGHT 18.30 MT THE SAME THE SAME THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",10/28/2015,42372,19260,Kaohsiung,"Los Angeles, California",EVER SMILE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 070 150804 008 MFG.DATE 04/AUGUST/2015 NET WEIGHT 915 KG. INGREDIENTS ORGANIC COCONUT OIL STORAGE CONDITIONSCOOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT,LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,MAGU2415947,22G0,20,PKG,25,X,EGLV061500028836, , ,0792E,EMCAZQ6574,UNITED KINGDOM, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD &,"AG PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU
Conventional MildOleic Sunflower Oil 70% OA,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SABO ITALIA SRL,10/28/2015,37391,16996,Livorno,"New York, New York",SEALAND WASHINGTON,Italy,SABO ITALIA SRL,"12420 SE Carpenter Drive CLACKAMAS, OR 97015 US","VIA DEGLI ARTIGIANI, 20/22 LASTRA A SIGNA, FI 50055 IT",35410,1,MEDU1966157,2210,30,CTN,0,CM,CDCCLI1158928900,H,MSCULS709578,541,6519661,MALTA, ,CDCC,CDC CARIBE INC,SAN JUAN,PR,920,2000 KENNEDY AVE STE 207,-NOT AVAILABLE-, ,LASTRA A SIGNA
CONVENTIONAL MILD-OLEIC SUNFLOWER OIL 70% OA HTS 15121990,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SABO ITALIA SRL,10/28/2015,37391,16996,Livorno,"New York/Newark Area, Newark, New Jersey",SEALAND WASHINGTON,Italy,PO: 751093 PO: 62/2015 SAME,12420 SE CARPENTER DRIVE CLACKAMAS OR 97015 UNITED STATES,LOC.GINESTRA FIORENTINA VIA DEGLI A LASTRA A SIGNA 50055 ITALY,97015,1,MEDU1966157,2210,30,PKG,0, ,MSCULS709578,M, ,541W,6519661,MALTA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,TLR-TOTAL LOGISTICS RESOURCE INC,11855 N.E. GLENN WIDING DRIVEFMC# 1 PORTLAND OR 97220 UNITED STATES,LIVORNO
ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS ORGANIC EXTRA VIRGIN COCONUT OIL HS CODE: 1513.19.10 TOTAL NET WEIGHT: 72.00 MTS TOTAL GROSS WEIGHT: 76.28 MTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LUONG QUOI COCONUT CO., LTD",10/23/2015,167816,76280,Xiamen,"Long Beach, California",CHICAGO BRIDGE,China,NO MARKNO MARKNO MARKNO MARK,12420 SE CARPENTER DRIVE - CLACKAMAS OR 97015,"AN HIEP INDUSTRIAL PARK, CHAU THANH DISTRICT,BEN TRE PROVINCE,VIETNAM FDA REGISTRATION #: 18761957766",97015,4,TRLU3861360 BMOU2921428 TRHU2416059 HJCU8423737,2CG0 2CG0 2CG0 2CG0,80,PKG,100,CM,ASQN114772,H,HJSCSGN528171100,0112E,HE559733 HE383119 HE383001 HE559622,PANAMA, ,ASQN,ASL LOGISTICS INC,HACIENDA HEIGHTS,CA,91745,2440 S HACIENDA BLVD #101,TLR TOTAL LOGISTICS RESOURCE,"ATTN: MARGARET MOWERY 11855 NE GLENN WIDING DR. PORTLAND, OR 97220",HO CHI MINH
"'SHIPPER'S LOAD, COUNT & SEAL' (208P'KGS) CY / CY UREA 46% PRILLED PO:00750293 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 'SHIPPER'S LOAD, COUNT & SEAL' (208P'KGS) CY / CY UREA 46% PRILLED PO:00750293 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 'SHIPPER'S LOAD, COUNT & SEAL' (208P'KGS) CY / CY UREA 46% PRILLED PO:00750293 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 'SHIPPER'S LOAD, COUNT & SEAL' (208P'KGS) CY / CY UREA 46% PRILLED PO:00750293 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170'SHIPPER'S LOAD, COUNT & SEAL' (208P'KGS) CY / CY UREA 46% PRILLED PO:00750293 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 'SHIPPER'S LOAD, COUNT & SEAL' (208P'KGS) CY / CY UREA 46% PRILLED PO:00750293 H.S.CODE:3102.10.0030 ++EMAIL:JHE@BRIDGEWELLRES.COM, TEL:503-742-1170 FREIGHT COLLECT FREIGHT COLLECT FREIGHT COLLECT FREIGHT COLLECT FREIGHT COLLECT FREIGHT COLLECT",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SHANDONG LIANMENG INTERNATIONAL,10/20/2015,458744,208520,Pusan,"Oakland, California",HYUNDAI BUSAN,South Korea,N/MN/MN/MN/MN/MN/MN/MN/M,"FOOD & AG PRODUCTS DIVISION 12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015 USA","TRADE CO.,LTD. NO.26 XIANGGANG ZHONG ROAD, QINGDAO,266071 CHINA",12420,8,TCLU4196970 DRYU4213687 HDMU4682092 HDMU4677368 TCLU4174483HDMU4763240 TGHU5235134 HDMU4740481,42G0 42G0 42G0 42G0 42G042G0 42G0 42G0,208,PKG,0, ,HDMUQIOA5616015, , ,0084E,F016720 F016712 F016747 F016791 F016742 F016766 F016701 F016704,CYPRUS, ,HDMU,HYUNDAI MERCHANT MARINE,SEOUL, , ,879 W 190TH ST 7TH FL,TOTAL LOGISTICS RESOURCES,"11855 NE GLENN WIDING DRIVE, PORTLAND OR 97220 USA, ATTN:MARGARET MOWERY,","QINGDAO, CHINA"
High Oleic Refined Oil,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SABO ITALIA SRL,10/19/2015,40713,18506,Livorno,"Long Beach, California",MSC ANISHA R.,Italy,SABO ITALIA SRL,"12420 SE Carpenter Drive CLACKAMAS, OR 97015 US","VIA DEGLI ARTIGIANI, 20/22 LASTRA A SIGNA, FI 50055 IT",35410,1,MSCU6880430,2210,19,CTN,0,CM,CDCCLI1158821300,H,MSCULS651911,538,6519866,LIBERIA, ,CDCC,CDC CARIBE INC,SAN JUAN,PR,920,2000 KENNEDY AVE STE 207,-NOT AVAILABLE-, ,LASTRA A SIGNA
HIGH OLEIC REFINED OIL,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SABO ITALIA SRL,10/19/2015,40713,18506,Sines,"Long Beach, California",MSC ANISHA R.,Portugal,PO: 749142 PO: 614 / 2015,12420 SE CARPENTER DRIVE CLACKAMAS OR 97015 UNITED STATES,LOC.GINESTRA FIORENTINA VIA DEGLI A LASTRA A SIGNA 50055 ITALY,97015,1,MSCU6880430,2210,19,CTN,0, ,MSCULS651911,M, ,538A,6519866,LIBERIA, ,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,TOTAL LOGISTICS RESOURCE INC.,11855 NE GLENN WIDING DRIVE PORTLAND OR 97220 UNITED STATES,LIVORNO
