PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,SHIPPER_CLEANED,YEAR,IMPORTER_CLEANED,IMPORTER_COUNTRY
60- GREENHEART PILES (540 LINEAR FT)ROUGH SAWN TATAJUBA LUMBER,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC.,2012-07-29 00:00:00,64240,29200,Demerara,"Wilmington, Delaware",ANNE,Guyana,,"10200 SW GREENBURG ROAD SUITE 500 TIGARD, OR 97223 USA TEL: 503-872-3566 / 800-570-3566","BLOCK 3026 HAND-EN-VELT MAHAICA GUYANA, SOUTH AMERICA",97223,1,NC, ,115,PCS,0, ,TVTNANNE04071207, , ,407, ,ANTIGUA AND BARBUDA,00 - Consumption Category,TVTN,TREVERTON LTD,WILLEMSTAD CURACAO, , ,WINDSTRAAT 3C,SAME AS CONSIGNEE, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
"PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARDCIGARETTE BOXES PARTS (SHOE TRAY, SHOE TRAY-SDIVIDER SLIDE COVER, BLACK UNIT, KEY) SAID TO BE: THIS SHIPMENT-BOTH PRODUCT AND PACKINGMATERIAL DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL OF ANY KIND.","D MARSHALL, INC", ,EMERALD FOREST INC.,2012-06-19 00:00:00,2543,1156,Chi Lung,"Los Angeles, California",YM WEALTH,China Taiwan,QD LOS ANGELES C/NO.1-72 MADE IN TAIWAN R.O.C,"269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A. TEL:714-844 9275","F1.,NO.18, LANE 1, BAOKANG ROAD., FENGYUAN DIST., TAICHUNG CITY 42051, TAIWAN (R.O.C.)",90212,1,GESU6855292,4CG0,72,CTN,8,CM,PSLAW2052158LAX,H,HJSCTPE221151100,0090E,HJS1912515,LIBERIA,00 - Consumption Category,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,"D MARSHALL, INC", ,"TAICHUNG,TAIWAN",Emerald Forest Inc.,2012,"D MARSHALL, INC",United States
(36 PIECES ROUGH SAWN GREENHEART 6' X 12' X 14FT - 7.95CBM) (48 PIECES ROUGH SAWNGREENHEART 10' X 12' X 11FT - 12.54CBM)(99 PIECES ROUGH SAWN GREENHEART 6' X 12' X 14FT - 19.95CBM) (3 PIECES ROUGH SAWNGREENHEART 10' X 12' X 14FT - 0.99CBM),BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC.,2012-06-10 00:00:00,114981,52264,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM PANAMA,Jamaica,NO MARKS NO NUMBERS NO MARKS NO NUMBERS,10200 SW GREENBURY ROAD SUITE 500 T IGARD OR 97223 USA TEL:503 872 3566 / 800 570 3566,BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 2 28 2844 / 592 228 2993,97223,2,TCNU7255185 ZCSU8445060,4500 4500,186,PCS,41,CF,ZIMUGTG05005, , ,42W,ZZC24909K/ ZZC24911K/,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
(72 PIECES ROUGH SAWN GREENHEART 6' X 12' X 14FT - 14.26 CBM) (24 PIECES ROUGH SAWN GREENHEART 10' X 12' X 11FT - 6.23 CBM) FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC.,2012-05-13 00:00:00,55644,25293,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM BEIJING,Jamaica,NO MARKS NO NUMBERS,10200 SW GREENBURY ROAD SUITE 500 T IGARD OR 97223 USA TEL:503 872 3566 / 800 570 3566,BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 22 8 2844 / 592 228 2993,97223,1,GLDU0673379,4500,96,PCS,20,CF,ZIMUGTG04868, , ,31W,082931/CTA,LIBERIA,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
OTHER WOOD O/6MM OTH; ASH(36 PIECES ROUGH SAWN GREENHEART 6' X 12' X 14FT - 7.13 CBM) (54 PIECES ROUGH SAWN GREENHEART 10' X 12' X 11FT - 14.01 CBM)OTHER WOOD O/6MM OTH; ASH(72 PIECES ROUGH SAWN GREENHEART 6' X 12' X 14FT - 14.26 CBM) (24 PIECES ROUGH SAWN GREENHEART 10' X 12' X 11FT - 6.23 CBM),BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,EMERALD FOREST INC.,2012-05-11 00:00:00,110384,50175,Demerara,"Port Everglades, Florida",VEGA SATURN,Guyana,NO MARKS NO NUMBERS NO MARKS NO NUMBERS,10200 SW GREENBURY ROAD SUITE 500 T IGARD OR 97223 USA TEL:503 872 3566 / 800 570 3566,BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 2 28 2844 / 592 228 2993,97223,2,GVDU4054156 ZCSU8694037,4200 4500,186,PCS,42,CF,ZIMUGTG04914, , ,451N,ZZC24908K/ ZZC24910K/,LIBERIA,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES LLC, ,GEORGETOWN,Emerald Forest Inc.,2012,BRIDGEWELL RESOURCES LLC,United States
(55 PIECES 6 X 6 X 16- MORA LUMBER) (73PIECES 6 X 6 X 20- MORA LUMBER) FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TOWEIGH,EVERGREEN FOREST PRODUCTS INC.,EVERGREEN FOREST PRODUCTS INC,EMERALD FOREST INC.,2011-08-21 00:00:00,54167,24621,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM PUSAN,Jamaica,NO MARKS NO NUMBERS,578 SOUND AVENUE WADING RIVER NEW Y ORK 11792 PO BOX 922 U.S.A TEL:631- 929-4303/ 631-929-3197 FAX:631-929,BLOCK 3026 HAND-EN-VELDT MAHAICA EA ST COAST DEMERARA GUYANA TEL:592 22 82844/ 592 2282993 / 592 6518755 F,11792,1,ZCSU8659632,4500,128,PCS,17,CF,ZIMUGTG04022, , ,28W,ZZZC909326,UNITED KINGDOM,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Emerald Forest Inc.,2011,EVERGREEN FOREST PRODUCTS INC.,United States
LUMBER,FOREVERWOOD INC,FOREVERGOOD LIMITED,EMERALD FOREST INC,2011-07-17 00:00:00,49500,22500,Las Calderas,"Miami, Florida",JUMMETOR,Dominican Republic,NO MARKS,5227 NW 35TH COURT MIAMI FL 3142 US,"3026 HAND -EN-VELDT MAHAICA, ECD GY",0,1,AMFU8887235, ,31,PCS,0, ,BNUHJUE009GUY303, , ,9,153955,PORTUGAL,00 - Consumption Category,BNUH,BERNUTH AGENCIES INC,MIAMI,FL,33142,3201 NW 24 ST/RD, , ,GUYANA,Emerald Forest Inc.,2011,FOREVERWOOD INC,United States
ROUND WAMARA LOGSROUND WAMARA LOGS,DALIAN GUOFENG WOOD CO. LTD, ,EMERALD FOREST INC,2011-06-04 00:00:00,88900,40409,Port Bustamante,"New York, New York",NYK NEBULA,Jamaica,NO MARKS NO NUMBERS NO MARKS NO NUMBERS,DALIAN JINZHOU ZONE SANSHILIPU HOGG UOCHUN CHINA TEL:86 41187361355 / 8 6 41187362788 FAX:86 41187379809,BLOCK 3026 HAND-EN-VELDT MAHAICA GU YANA TEL:592 228 2844 / 592 651 875 5,0,2,FCIU9039493 ZCSU8576939,4500 4500,37,PCS,38,CF,ZIMUGTG03947, , ,21W,ZZZC911503 ZZZC909321,PANAMA,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Emerald Forest Inc.,2011,DALIAN GUOFENG WOOD CO. LTD,China
ROUND WAMARA LOGS FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,DALIAN GUOFENG WOOD CO. LTD, ,EMERALD FOREST INC.,2011-06-04 00:00:00,47311,21505,Port Bustamante,"New York, New York",NYK NEBULA,Jamaica,NO MARKS NO NUMBERS,DALIAN JINZHOU ZONE SANSHILIPU HOGG UOCHUN CHINA TEL:86 41187361355 / / 86 41187362788 FAX:8641187379809,BLOCK 3026 HAND-EN-VELDT MAHAICA GU YANA TEL:592 228 2844 / 592 651 875 5,0,1,ZCSU8851579,4500,15,PCS,19,CF,ZIMUGTG03960, , ,21W,ZZC184806/,PANAMA,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,Emerald Forest Inc.,2011,DALIAN GUOFENG WOOD CO. LTD,China
40- DEBARKED GREENHEART PILINGS1720 LINEAL FEETDRESSED GREENHEART TIMBERS,MR. THOMAS YOUDELL, ,EMERALD FOREST INC.,2010-03-24 00:00:00,100364,45620,Demerara,"Philadelphia, Pennsylvania",NANUK,Guyana,,"FOREVERWOOD INC. 5227 NW 35TH CT MIAMI, FLORIDA","BLOCK 3026 HAND-EN-VELT MAHAICA GUYANA, SOUTH AMERICA",0,1,NC, ,154,PCS,0, ,SOAIGEOGLO758002, , ,758, ,ANTIGUA AND BARBUDA,00 - Consumption Category,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,MR. THOMAS YOUDELL, ,GEORGETOWN,Emerald Forest Inc.,2010,MR. THOMAS YOUDELL,United States
GREEN HEART PILES,MR. KEN SPROGE, ,EMERALD FOREST INC,2009-11-19 00:00:00,171600,78000,Demerara,"Houston, Texas",INDUSTRIAL ACHIEVER,Guyana,NM,"GREENHEART-DURAWOODS, INC P.O.BOX 1362 6901 CHESTNUT AVENUE MERCHANTVILLE NJ 08109 US",BLOCK 3026 HAND-EN-VELDT E.C. DEMERARA MACHAICA GY 592 228 5657,8109,1,NC, ,50,PIE,134,CM,ASTSGTHO91476001, , ,91128, ,NETHERLANDS ANTILLES,00 - Consumption Category,ASTS,ASSOCIATED TRANSPORT LINE LLC,HOUSTON,TX,77060,16801 GREENSPOINT PARK DR STE 225,MR. KEN SPROGE, ,GEORGETOWN,Emerald Forest Inc.,2009,MR. KEN SPROGE,United States
"PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARDCIGARETTE BOXES PARTS ON BOARD NOTATION: V.V.: YM VANCOUVER 0017E AT: KEELUNG, TAIWAN ON:OCT. 27,2009",QUALITY DISTRIBUTORS,QUALITY DISTRIBUTORS,EMERALD FOREST INC.,2009-11-08 00:00:00,3502,1592,Chi Lung,"Los Angeles, California",YM VANCOUVER,China Taiwan,QD LOS ANGELES C/NO.1-101 MADE IN TAIWAN R.O. C.,"269, S BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A. TEL:714-844-9275 FAX:714-844-9275","NO.23, LANE 42, JEN CHOU ST., FENG YUAN, TAIWAN, R.O.C.",90212,1,HJCU6965744,4CG0,101,CTN,11,CM,PSLAW9102080LAX,H,HJSCKEEA02648006,0017E,HJS1608385,CYPRUS,00 - Consumption Category,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,QUALITY DISTRIBUTORS, ,"TAICHUNG,TAIWAN",Emerald Forest Inc.,2009,QUALITY DISTRIBUTORS,United States
"BALSAM,FIR,SPRUCE PULPWOOD,OTHCONIFEROUS WOOD IN THE ROUGH, WHETHER OR NOTBALSAM,FIR,SPRUCE PULPWOOD,OTHSTRIP - (12'X12'X22') GREENHEART LUMBERBALSAM,FIR,SPRUCE PULPWOOD,OTHCONIFEROUS WOOD IN THE ROUGH, WHETHER OR NOTBALSAM,FIR,SPRUCE PULPWOOD,OTHSTRIP - (12'X12'X22') GREENHEART LUMBERBALSAM,FIR,SPRUCE PULPWOOD,OTHCONIFEROUS WOOD IN THE ROUGH, WHETHER OR NOTBALSAM,FIR,SPRUCE PULPWOOD,OTHSTRIP - (12'X12'X22') GREENHEART LUMBER",INDUSTRIAL SUPPLIES DEVELOPMENT CO, ,EMERALD FOREST INC.,2009-10-07 00:00:00,123750,56250,Port of Spain,"Houston, Texas",MSC BALI,Trinidad,NO MARKS SAME NO MARKS SAME NO MARKS SAME,P.O. BOX 31781 AL-KHOBAR 31952 SA AL KHOBAR SAUDI ARABIA,BLOCK 3026 HAND-EN-VELDT MAHAICA GU GEORGETOWN GUYANA,31781,3,MSCU8480730 TTNU9854837 MSCU5616037,4510 4510 4310,75,BOX,46,CM,MSCUTR012463, , ,020R,108730 108732 108731,MARSHALL ISLANDS,00 - Consumption Category,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,MR. JOHN DOSS, ,PORT OF SPAIN,Emerald Forest Inc.,2009,INDUSTRIAL SUPPLIES DEVELOPMENT,Saudi Arabia
"SAWN LUMBER1X40- CONTAINER CONTAINING292 PIECES DRESSED LUMBER(MIXED HARDWOOD)64 PIECES ROUGH LUMBER(MIXED HARDWOOD)THE INFORMATION APPEARING ON THEDECLARATION RELATING TO THE QUANTITY ANDDESCRIPTION OF THE CARGO IS IN EACHINSTANCE BASED ON THE SHIPPER-S LOADAND COUNT. I HAVE NO KNOWLEDGE ORINFORMATION WHICH WOULD LEAD ME TOBELIEVE OR TO SUSPECT THAT THEINFORMATION FURNISHED BY THE SHIPPERIS INCOMPLETE, INACCURATE, OR FALSE INANY WAY.",FOREST INDUSTRIES INC, ,EMERALD FOREST INC,2009-09-18 00:00:00,55583,25265,Port Bustamante,"San Juan, Puerto Rico",UNI-CONCORD,Jamaica, ,"MR GARY POSERNIA PO BOX 922, 578 SOUND AVENUE WADING RIVER, NEW YORK 11792 TEL: 631-929-4303",BLOCK 3026 HAND - EN - VELDT MAHAICA EAST COAST DEMERARA GUYANA,11792,1,UESU4793997,45G0,1,CNT,23,CM,EGLV765900001959, , ,0959N,EMCBLV1728,"TAIWAN, PROVINCE OF CHINA",00 - Consumption Category,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,FOREST INDUSTRIES INC, ,GEORGETOWN,Emerald Forest Inc.,2009,FOREST INDUSTRIES INC,United States
BULK SAWN GREENHEART TIMBER,THOMAS YOUDELL, ,"EMERALD FOREST, INC.",2009-07-14 00:00:00,172,78,Demerara,"Mobile, Alabama",CIC BRASIL,Guyana,NO MARKS,"C/O FOREVER WOOD, INC. P.O.BOX 420158 MIAMI, FL.333242","51 BELMONT NIAHAICA, GUYANA S.A. MR. JAGDESH MANGAL PH.: #592-228-5657,694-7692",42015,1,NC, ,176,PCS,0, ,CPERCIC249011001, , ,2490, ,BAHAMAS,00 - Consumption Category,CPER,CLIPPER AMERICAS INC,HOUSTON,TX,77042,2500 CITYWEST BLVD SUITE 500,THOMAS YOUDELL, ,DEMERARA,Emerald Forest Inc.,2009,MR. THOMAS YOUDELL,United States
"PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARDCIGARETTE BOXES PARTS (BOX) ON BOARD NOTATION: V.V.: YM NORTH 0012E AT: KEELUNG, TAIWAN ON: JUN. 03, 2009 SAID TO BE: ***THIS SHIPMENT-BOTH PRODUCT AND PACKING MATERIAL DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL OF ANYKIND.***",QUALITY DISTRIBUTORS,QUALITY DISTRIBUTORS,EMERALD FOREST INC.,2009-06-14 00:00:00,3474,1579,Chi Lung,"Los Angeles, California",YM NORTH,China Taiwan,QD LOS ANGELES C/NO. 1-84 MADE IN TAIWAN R.O. C.,"269 S. BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A. TEL:714-844 9275 FAX:714-844 9275","NO.23, LANE 42, JEN CHOU ST., FENG YUAN, TAIWAN, R.O.C.",90212,1,HJCU6975911,4CG0,84,CTN,9,CM,PSLAW9052092LAX,H,HJSCKEEA02459706,0012E,HJS1513678,LIBERIA,00 - Consumption Category,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,QUALITY DISTRIBUTORS, ,"TAICHUNG, TAIWAN",Emerald Forest Inc.,2009,QUALITY DISTRIBUTORS,United States
PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARDCIGARETTE BOXES PART,QUALITY DISTRIBUTORS,QUALITY DISTRIBUTORS,EMERALD FOREST INC.,2009-01-03 00:00:00,1129,513,Chi Lung,"Los Angeles, California",YM SOUTH,China Taiwan,QD LOS ANGELES C/NO.1-28 MADE IN TAIWAN R.O.C,"269, S BEVERLY DRIVE #681 BEVERLY HILLS, CA. 90212 U.S.A. TEL:714-844-9275 FAX:714-844-9275","NO.23, LANE 42, JEN CHOU ST., FENG YUAN, TAIWAN, R.O.C.",90212,1,HJCU6081569,4CG0,28,CTN,3,CM,PSLAW8122062LAX,H,HJSCKEEA02264303,0006E,HJS1491329,"TAIWAN, PROVINCE OF CHINA",00 - Consumption Category,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,QUALITY DISTRIBUTORS, ,"TAICHUNG,TAIWAN",Emerald Forest Inc.,2009,QUALITY DISTRIBUTORS,United States
"PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARD G, TAIWAN ON:SEP. 16,2008",QUALITY DISTRIBUTORS,QUALITY DISTRIBUTORS,EMERALD FOREST INC.,2008-09-28 00:00:00,1637,744,Chi Lung,"Los Angeles, California",YM EAST,China Taiwan,QD LOS ANGELES C/NO.1-45 MADE IN TAIWAN R.O.C,"269, S BEVERLY DRIVE #681 BEVERLY HILLS, CA 90212 U.S.A. TEL:714-844 9275","NO.23, LANE 42, JEN CHOU ST. FENG YUAN, TAIWAN, R.O.C.",90212,1,HJCU1906498,4CG0,45,CTN,4,CM,PSLAW8092043LAX,H,HJSCKEEA02142305,0006E,HJS1491340,LIBERIA,00 - Consumption Category,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,QUALITY DISTRIBUTORS,"269, S BEVERLY DRIVE #681 BEVERLY HILLS, CA 90212 U.S.A. TEL:714-844 9275","TAICHUNG,TAIWAN",Emerald Forest Inc.,2008,QUALITY DISTRIBUTORS,United States
"PARTICLE BOARD CIGAR BOXES AND PARTICLE BOARD UNG, TAIWAN ON:AUG. 5,2008",QUALITY DISTRIBUTORS,QUALITY DISTRIBUTORS,EMERALD FOREST INC.,2008-08-17 00:00:00,3018,1372,Chi Lung,"Los Angeles, California",YM SOUTH,China Taiwan,QD LOS ANGELES C/NO.1-72 MADE IN TAIWAN R.O.C,"269, S BEVERLY DRIVE #681 BEVERLY HILLS, CA 90212 U.S.A. TEL:714-844 9275","NO.23, LANE 42, JEN CHOU ST. FENG YUAN, TAIWAN, R.O.C.",90212,1,TRLU7110157,4CG0,72,CTN,9,CM,PSLAW8072127LAX,H,HJSCKEEA02095406,0002E,CSI3997341,"TAIWAN, PROVINCE OF CHINA",00 - Consumption Category,PSLA,PACIFICTOP SHIPPING LIMITED,KWUN TONG KOWLOON, , ,LEVEL 8 MILLENNIUM CITY #6 392 KWUN TONG ROAD,QUALITY DISTRIBUTORS,"269, S BEVERLY DRIVE #681 BEVERLY HILLS, CA 90212 U.S.A. TEL:714-844 9275","TAICHUNG,TAIWAN",Emerald Forest Inc.,2008,QUALITY DISTRIBUTORS,United States
ROUGH SAWN PURPLEHEART - (GENUS PELTOGYNE) LUMBER (16.5703M),TROPICAL TIMBERWOODS INC,TROPICAL TIMBERWOODS INC,TIMBERWOOD PRODUCTS INC.,2015-04-03 00:00:00,44000,20000,Cartagena,"Tacoma, Washington",HS COLON,Colombia,NO MARKS,"15476 NW 77TH COURT 217 MIAMI LAKES, FLORIDA 33016 MIAMI LAKES, FLORID FL 33016 US",48 COVENT GARDEN GEORGETOWN FAX: 592-261-0010 GY,33016,1,SUDU8958416,4510,234,PCS,0,CM,SUDU25GEOWA00071, , ,507W, ,LIBERIA, ,SUDU,HAMBURG SUED,HAMBURG, ,D-20415,WILLY-BRANDT-STRASSE 59-61 POSTFATCH 11 15,TROPICAL TIMBERWOOD INC.,"C/O RICHARD MURRAY COMPANY INC MOBILE, AL 36602 TEL: 251-432-5548 E AL 36602 US","GEORGETOWN, GUYAN",Timberwood Products Inc.,2015,TROPICAL TIMBERWOODS INC,United States
GREENHEART PILES PURCHASE ORDER NO. 1068 13 2 PCS GREENHEART PILES (UP TO 40-) 400 PC S GREENHEART PILES (41--50-) 341 PCS GREENHEART PILES (51--60-) 67 PCS GREENHEART PILES (61--70-) 24 PCS GREENHEART PILES (71- AND OVER),TROPICAL TIMBERWOODS INC,TROPICAL TIMBERWOODS INC,TIMBERWOOD PRODUCTS INC.,2013-12-01 00:00:00,2416680,1096000,Demerara,"New York/Newark Area, Newark, New Jersey",CORSO DREAM,Guyana,GREENHEART PILES PURCHASE ORDER NO. 1068 BLUE ENDS /TTI,"15476 NW 77TH COURT, #217 MIAMI LAKES, FLORIDA 33016 NY 11792, USA",48 COVENT GARDEN E.B.D. GUYANA,33016,1,NC, ,964,PCS,0, ,SOAI165GEONWK002, , ,165, ,MALTA, ,SOAI,SOREIDOM,LE ROBERT, ,97231,Z1 ROBERT,TROPICAL TIMBERWOODS INC.,"C/O RICHARD MURRAY CO INC. 109 CONCEPTION STREET, MOBILE, AL 36601, USA",GEORGETOWN,Timberwood Products Inc.,2013,TROPICAL TIMBERWOODS INC,United States
PIECES 58--60- ROUND GREENHEART PILES (PO # 1074) PIECES 58--60- ROUND GREENHEART PILES (PO # 1074),TROPICAL TIMBERWOODS INC,TROPICAL TIMBERWOODS INC,TIMBERWOOD PRODUCTS INC,2013-05-29 00:00:00,97001,44091,Port Bustamante,"New York, New York",SPICA,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS,15476 NW 77TH CT STE 217 MIAMI LAKES FL 33016-5823 USA,48 COVENT GARDEN GUYANA GUY,33016,2,SMLU6410890 SMLU6412358, ,24,CNT,0, ,SMLU3391300A, , ,148, ,LIBERIA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,TROPICAL TIMBERWOODS INC,14335 COMMERCE WAY MIAMI LAKES FL 33016-1502 USA,GEORGETOWN,Timberwood Products Inc.,2013,TROPICAL TIMBERWOODS INC,United States
PIECES 39- ROUND GREENHEART PILES (PO # 1072) PIECES 39- ROUND GREENHEART PILES (PO # 1072),TROPICAL TIMBERWOODS INC,TROPICAL TIMBERWOODS INC,TIMBERWOOD PRODUCTS INC,2013-05-08 00:00:00,88183,40083,Demerara,"Miami, Florida",BIRK,Guyana,NO MARKS NO MARKS NO MARKS NO MARKS,15476 NW 77TH CT STE 217 MIAMI LAKES FL 33016-5823 USA,48 COVENT GARDEN GUYANA GUY,33016,2,SMLU7836319 SMLU7858004, ,44,CNT,0, ,SMLU3381907A, , ,183,232367 G1233103 232368 G1233102,ANTIGUA AND BARBUDA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,TROPICAL TIMBERWOODS INC,15476 NW 77TH CT STE 217 MIAMI LAKES FL 33016-5823 USA,GEORGETOWN,Timberwood Products Inc.,2013,TROPICAL TIMBERWOODS INC,United States
(18.0849 M) ROUGH SAWN PURPLEHEART (GENUS PELTOGYNE) LUMBER (17.9834 M) ROUGH SAWN PURPLEHEART - (GENUS PELTOGYNE) LUMBER,TROPICAL TIMBERWOODS INC,TROPICAL TIMBERWOODS INC,TIMBERWOOD PRODUCTS INC.,2013-04-24 00:00:00,88000,40000,Cartagena,"Tacoma, Washington",IRENES REMEDY,Colombia,NO MARKS NO MARKS,"15476 NW 77TH COURT, 217 MIAMI LAKES FLORIDA 33016 MIAMI LAKES FLORIDA FL 33016 US",48 COVENT GARDEN GUYANA FAX: 592-261-0010 GY,33016,2,SUDU8872713 SUDU6733025,4510 4510,367,PCS,0,CM,SUDU23GEOWA00011, , ,312W,A285731 CTA223099 A285732 CTA223098,LIBERIA, ,SUDU,HAMBURG SUED,HAMBURG, ,D-20415,WILLY-BRANDT-STRASSE 59-61 POSTFATCH 11 15,TROPICAL TIMBERWOOD INC.,"C/O RICHARD MURRAY COMPANY INC MOBILE, AL 36602 TEL: 251-432-5548 E AL 36602 US","GEORGETOWN, GUYAN",Timberwood Products Inc.,2013,TROPICAL TIMBERWOODS INC,United States
"(17.8489M) ROUGH SAWN PURPLEHEART - (GENUS PELTOGYNE) LUMBER PRECARRIAGE VESSEL FROM GEORGETOWN, GUYANA IS M/V TROPICDAWN V.737",TROPICAL TIMBERWOODS INC,TROPICAL TIMBERWOODS INC,TIMBERWOOD PRODUCTS INC.,2013-04-24 00:00:00,44000,20000,Cartagena,"Tacoma, Washington",IRENES REMEDY,Colombia,NO MARKS,"15476 NW 77TH COURT, 217 MIAMI LAKES, FLORIDA 33016 MIAMI LAKES, FLORID FL 33016 US",48 COVENT GARDEN GUYANA FAX: 592-261-0010 GY,33016,1,SUDU8656885,4510,128,PCS,0,CM,SUDU23GEOWA00021, , ,312W,A285733 CTA223530,LIBERIA, ,SUDU,HAMBURG SUED,HAMBURG, ,D-20415,WILLY-BRANDT-STRASSE 59-61 POSTFATCH 11 15,TROPICAL TIMBERWOODS INC,"C/O RICHARD MURRAY COMPANY INC MOBILE, AL 36602 TEL:251-432-5548 EX AL 36602 US","GEORGETOWN, GUYAN",Timberwood Products Inc.,2013,TROPICAL TIMBERWOODS INC,United States
